cgpa,aptitudescore,communicationscore,projects,internships,certifications,technicalskillscore,package,group
9.57,80,67,8,1,8,88,16,
9.34,91,41,10,4,3,45,14,12 - 15 LPA
6.53,63,46,6,3,8,43,10,9 - 12 LPA
8.5,83,55,7,2,0,69,13,12 - 15 LPA
8.99,72,97,8,0,8,44,14,12 - 15 LPA
7.9,91,44,4,1,3,54,11,9 - 12 LPA
9.9,71,94,6,0,7,98,16,
9.07,79,80,10,1,1,78,13,12 - 15 LPA
7.02,87,84,4,4,2,40,10,9 - 12 LPA
7.94,83,46,3,5,7,58,13,12 - 15 LPA
7.14,69,69,1,4,3,59,11,9 - 12 LPA
9.75,41,58,7,0,8,68,14,12 - 15 LPA
7.55,98,100,3,0,1,49,10,9 - 12 LPA
7.05,63,48,9,5,8,57,13,12 - 15 LPA
8.81,54,71,7,3,0,50,11,9 - 12 LPA
7.97,68,65,4,5,2,66,12,9 - 12 LPA
7.26,93,61,0,2,5,93,11,9 - 12 LPA
9.76,52,85,0,5,4,56,13,12 - 15 LPA
7.57,95,77,1,2,6,88,12,9 - 12 LPA
6.19,46,43,10,2,2,55,9,6 - 9 LPA
7.74,60,52,5,3,0,91,12,9 - 12 LPA
7.6,96,100,8,4,3,86,14,12 - 15 LPA
9.73,66,68,9,1,4,71,14,12 - 15 LPA
9.71,48,50,7,3,5,58,13,12 - 15 LPA
8.96,81,56,6,5,3,59,14,12 - 15 LPA
8.68,47,50,10,1,1,53,11,9 - 12 LPA
9.25,75,54,7,2,7,67,13,12 - 15 LPA
6.77,45,51,5,4,1,60,8,6 - 9 LPA
7.03,76,52,0,5,6,64,10,9 - 12 LPA
8.1,64,57,5,0,7,57,11,9 - 12 LPA
7.44,83,72,8,5,3,45,12,9 - 12 LPA
6.99,65,81,7,3,4,94,13,12 - 15 LPA
9.87,48,42,6,5,7,77,16,
6.29,99,99,8,3,7,55,13,12 - 15 LPA
6.9,49,73,10,0,7,45,9,6 - 9 LPA
6.16,90,48,3,4,0,81,10,9 - 12 LPA
9.85,80,56,8,5,6,84,18,
6.4,59,73,9,1,6,56,9,6 - 9 LPA
8.4,40,74,4,3,4,60,12,9 - 12 LPA
9.54,70,73,3,4,3,41,14,12 - 15 LPA
8.82,59,43,0,1,7,96,12,9 - 12 LPA
7.68,56,54,10,3,5,54,12,9 - 12 LPA
8.78,85,66,5,5,6,52,13,12 - 15 LPA
7.17,94,72,1,1,7,52,9,6 - 9 LPA
9.28,54,69,3,2,4,46,12,9 - 12 LPA
7.98,51,97,3,3,6,98,13,12 - 15 LPA
9.8,49,99,6,0,3,41,13,12 - 15 LPA
6.57,43,85,0,1,6,68,9,6 - 9 LPA
9.53,86,47,1,1,5,52,11,9 - 12 LPA
9.74,87,69,0,2,6,93,14,12 - 15 LPA
7.33,50,46,0,0,4,45,6,3 - 6 LPA
9.82,47,75,3,3,5,89,15,12 - 15 LPA
9.29,67,45,0,5,7,52,13,12 - 15 LPA
9.68,52,60,5,5,7,41,14,12 - 15 LPA
6.99,80,89,6,0,6,42,9,6 - 9 LPA
9.21,43,56,3,5,1,97,14,12 - 15 LPA
7.45,61,79,0,2,5,99,10,9 - 12 LPA
6.02,88,78,10,0,0,92,9,6 - 9 LPA
7.9,69,89,6,2,6,92,13,12 - 15 LPA
9.71,51,40,4,5,2,78,14,12 - 15 LPA
9.44,69,63,9,0,8,52,13,12 - 15 LPA
6.64,66,44,10,0,7,75,10,9 - 12 LPA
6.64,67,96,1,0,4,79,8,6 - 9 LPA
6.39,71,85,7,1,3,48,8,6 - 9 LPA
8.48,83,55,8,5,1,89,16,
7.18,76,57,5,2,4,52,10,9 - 12 LPA
6.74,55,49,4,4,3,60,8,6 - 9 LPA
7.01,55,72,8,1,1,81,10,9 - 12 LPA
6.15,40,70,3,3,5,42,8,6 - 9 LPA
6.93,43,52,9,4,3,99,11,9 - 12 LPA
8.05,51,68,9,2,0,46,11,9 - 12 LPA
8.84,62,53,0,2,5,49,9,6 - 9 LPA
10.0,42,78,10,1,0,92,14,12 - 15 LPA
8.71,51,79,4,0,3,42,10,9 - 12 LPA
8.19,44,66,1,3,8,49,11,9 - 12 LPA
6.36,50,65,4,3,4,82,9,6 - 9 LPA
9.81,59,87,9,2,6,66,14,12 - 15 LPA
9.07,91,63,10,1,6,86,15,12 - 15 LPA
9.77,67,97,2,3,1,92,14,12 - 15 LPA
8.31,63,69,2,1,0,43,9,6 - 9 LPA
8.56,98,65,1,4,5,87,14,12 - 15 LPA
6.58,58,50,8,1,1,46,7,6 - 9 LPA
9.01,90,91,3,2,2,93,15,12 - 15 LPA
9.9,70,60,0,4,6,45,14,12 - 15 LPA
8.48,92,97,2,5,3,79,14,12 - 15 LPA
9.39,93,70,2,4,3,42,13,12 - 15 LPA
8.07,64,62,1,1,3,86,11,9 - 12 LPA
6.77,96,75,10,0,5,47,10,9 - 12 LPA
7.82,94,80,4,5,6,59,14,12 - 15 LPA
7.7,82,63,7,4,7,51,12,9 - 12 LPA
8.48,71,69,3,3,7,93,13,12 - 15 LPA
7.89,46,44,2,2,6,63,9,6 - 9 LPA
7.77,72,82,0,0,2,45,9,6 - 9 LPA
7.25,86,72,1,0,8,97,11,9 - 12 LPA
9.8,48,41,1,4,1,52,11,9 - 12 LPA
9.54,58,91,2,5,3,44,14,12 - 15 LPA
8.44,56,50,5,4,4,97,14,12 - 15 LPA
6.57,72,98,7,1,4,79,11,9 - 12 LPA
7.28,42,52,2,3,2,80,10,9 - 12 LPA
8.72,97,64,2,2,1,89,13,12 - 15 LPA
8.55,63,95,7,4,8,77,16,
9.58,56,74,10,3,5,56,15,12 - 15 LPA
7.48,49,63,5,0,7,54,8,6 - 9 LPA
8.97,43,58,8,2,4,80,14,12 - 15 LPA
9.48,99,82,5,5,0,87,15,12 - 15 LPA
6.6,79,80,6,3,8,63,12,9 - 12 LPA
6.53,54,79,10,0,0,43,7,6 - 9 LPA
7.42,46,73,5,4,3,66,11,9 - 12 LPA
8.36,53,63,9,3,2,48,11,9 - 12 LPA
9.21,85,49,7,0,1,80,12,9 - 12 LPA
8.66,57,65,4,0,0,81,11,9 - 12 LPA
9.57,78,81,9,3,8,86,17,
6.66,40,42,0,4,0,65,6,3 - 6 LPA
6.64,98,89,1,0,8,82,11,9 - 12 LPA
6.57,52,73,9,5,8,81,13,12 - 15 LPA
9.25,51,72,4,0,4,80,11,9 - 12 LPA
9.56,90,70,8,0,6,94,15,12 - 15 LPA
9.65,45,87,10,3,2,54,15,12 - 15 LPA
7.05,81,42,1,2,4,85,9,6 - 9 LPA
8.54,83,67,10,4,4,58,15,12 - 15 LPA
9.86,53,45,8,0,2,56,13,12 - 15 LPA
